,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,74,47,28,67666,2959
3,Guangdong,11346,1,0,0,1352,7
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,0,0,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,758,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,4,0,576,6
12,Sichuan,8341,0,0,0,539,3
13,Heilongjiang,3773,0,0,0,481,13
14,Beijing,2154,4,13,0,426,8
15,Shanghai,2424,3,16,0,342,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,0,0,174,2
21,Hainan,934,0,0,0,168,6
22,Guizhou,3600,0,0,0,146,2
23,Tianjin,1560,0,12,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,4,0,125,1
26,Gansu,2637,17,0,0,119,2
27,Hong Kong SAR,745,3,0,0,107,2
28,Jilin,2704,0,3,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Inner Mongolia,2534,0,0,0,75,1
31,Ningxia,688,0,0,0,75,0
32,Taipei and environs,2359,0,0,0,45,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,102,99,28,80813,3073
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,6767,483,44,2,Local transmission,0
3,Japan,408,59,6,0,Local transmission,0
4,Singapore,130,13,0,0,Local transmission,0
5,Malaysia,83,28,0,0,Local transmission,1
6,Australia,62,5,2,0,Local transmission,0
7,Viet Nam,17,1,0,0,Local transmission,0
8,New Zealand,5,1,0,0,Local transmission,0
9,Philippines,5,0,1,0,Local transmission,1
10,Cambodia,1,0,0,0,Imported cases only,39
11,European Region,,,,,,
12,Italy,4636,778,197,49,Local transmission,0
13,Germany,639,105,0,0,Local transmission,0
14,France,613,193,9,3,Local transmission,0
15,Spain,374,117,5,2,Local transmission,0
16,Switzerland,209,123,1,0,Local transmission,0
17,The United Kingdom,167,49,1,1,Local transmission,0
