,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,126,43,29,67592,2931
3,Guangdong,11346,1,0,0,1351,7
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,0,1,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,758,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,2,0,576,6
12,Sichuan,8341,0,2,0,539,3
13,Heilongjiang,3773,0,0,0,481,13
14,Beijing,2154,4,3,0,422,8
15,Shanghai,2424,1,22,0,339,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,2,0,174,2
21,Hainan,934,0,0,1,168,6
22,Guizhou,3600,0,2,0,146,2
23,Tianjin,1560,0,9,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,13,0,125,1
26,Hong Kong SAR,745,0,0,0,104,2
27,Gansu,2637,11,0,0,102,2
28,Jilin,2704,0,3,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Inner Mongolia,2534,0,0,0,75,1
31,Ningxia,688,0,0,0,75,0
32,Taipei and environs,2359,3,0,0,45,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,146,102,30,80711,3045
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,6284,518,42,7,Local transmission,0
3,Japan,349,32,6,0,Local transmission,0
4,Singapore,117,7,0,0,Local transmission,0
5,Australia,57,0,2,0,Local transmission,1
6,Malaysia,55,5,0,0,Local transmission,0
7,Viet Nam,16,0,0,0,Local transmission,22
8,Philippines,5,2,1,0,Local transmission,0
9,New Zealand,4,2,0,0,Local transmission,0
10,Cambodia,1,0,0,0,Imported cases only,38
11,European Region,,,,,,
12,Italy,3858,769,148,41,Local transmission,0
13,Germany,534,272,0,0,Local transmission,0
14,France,420,138,6,2,Local transmission,0
15,Spain,257,59,3,2,Local transmission,0
16,The United Kingdom,118,29,0,0,Local transmission,0
17,Norway,86,30,0,0,Local transmission,0
