,0,1,2,3,4,5,6
18,Switzerland,86,30,1,1,Local transmission,0
19,Netherlands,82,44,0,0,Local transmission,0
20,Sweden,61,26,0,0,Local transmission,0
21,Belgium,50,27,0,0,Local transmission,1
22,Austria,47,10,0,0,Imported cases only,0
23,Greece,32,23,0,0,Local transmission,1
24,Iceland,26,0,0,0,Imported cases only,1
25,San Marino,21,5,0,0,Local transmission,0
26,Denmark,18,8,0,0,Local transmission,1
27,Israel,15,0,0,0,Local transmission,1
28,Ireland,14,12,0,0,Local transmission,0
29,Czechia,12,7,0,0,Local transmission,0
30,Finland,12,5,0,0,Local transmission,0
31,Croatia,10,1,0,0,Local transmission,0
32,Georgia,9,6,0,0,Imported cases only,0
33,Portugal,9,0,0,0,Local transmission,1
34,Belarus,6,0,0,0,Local transmission,1
35,Romania,6,2,0,0,Local transmission,0
36,Slovenia,6,5,0,0,Local transmission,0
37,Russian Federation,4,1,0,0,Imported cases only,0
38,Azerbaijan,3,0,0,0,Imported cases only,5
39,Estonia,3,1,0,0,Imported cases only,0
40,"Bosnia and 
Herzegovina",2,0,0,0,Local transmission,1
41,Hungary,2,0,0,0,Imported cases only,1
42,Andorra,1,0,0,0,Imported cases only,3
43,Armenia,1,0,0,0,Imported cases only,4
44,Latvia,1,0,0,0,Imported cases only,3
45,Liechtenstein,1,0,0,0,Imported cases only,0
46,Lithuania,1,0,0,0,Imported cases only,7
47,Luxembourg,1,0,0,0,Imported cases only,4
,0,1,2,3,4,5,6
0,Monaco,1,0,0,0,Under investigation,5
1,North Macedonia,1,0,0,0,Imported cases only,8
2,Poland,1,0,0,0,Imported cases only,2
3,Serbia,1,1,0,0,Under investigation,0
4,Ukraine,1,0,0,0,Imported cases only,2
5,Territories**,,,,,,
6,"Gibraltar 
1 
0 
0 
0 
Under investigation 
2",,,,,,
7,South-East Asia Region,,,,,,
8,Thailand,47,0,1,0,Local transmission,1
9,India,30,1,0,0,Local transmission,0
10,Indonesia,2,0,0,0,Local transmission,4
11,Bhutan,1,1,0,0,Imported cases only,0
12,Nepal,1,0,0,0,Imported cases only,42
13,Sri Lanka,1,0,0,0,Imported cases only,39
14,Eastern Mediterranean Region,,,,,,
15,"Iran (Islamic 
Republic of)",3513,591,107,15,Local transmission,0
16,Kuwait,58,0,0,0,Imported cases only,1
17,Bahrain,49,0,0,0,Imported cases only,3
18,Iraq,36,0,2,0,Imported cases only,1
19,"United Arab 
Emirates",27,0,0,0,Local transmission,2
20,Lebanon,16,3,0,0,Local transmission,0
21,Oman,16,1,0,0,Imported cases only,0
22,Qatar,8,0,0,0,Imported cases only,2
23,Saudi Arabia,8,6,0,0,Imported cases only,0
24,Pakistan,5,0,0,0,Imported cases only,3
25,Egypt,3,1,0,0,Imported cases only,0
26,Morocco,2,0,0,0,Imported cases only,1
27,Afghanistan,1,0,0,0,Imported cases only,11
28,Jordan,1,0,0,0,Imported cases only,3
29,Tunisia,1,0,0,0,Imported cases only,3
30,Territories**,,,,,,
31,"Occupied 
7 
0 
0 
0 
Imported cases only 
1 
Palestinian Territory",,,,,,
32,Region of the Americas,,,,,,
33,"United States of 
America",148,19,10,1,Local transmission,0
34,Canada,45,15,0,0,Local transmission,0
35,Ecuador,13,6,0,0,Local transmission,0
36,Brazil,7,4,0,0,Imported cases only,0
37,Mexico,5,0,0,0,Imported cases only,4
38,Argentina,1,0,0,0,Imported cases only,2
39,Chile,1,0,0,0,Imported cases only,2
40,Dominican Republic,1,0,0,0,Imported cases only,4
41,Territories**,,,,,,
42,"Saint Martin 
2 
0 
0 
0 
Under investigation 
3",,,,,,
43,"Saint Barthélemy 
1 
0 
0 
0 
Under investigation 
3",,,,,,
44,African Region,,,,,,
45,Algeria,12,0,0,0,Local transmission,1
46,Senegal,4,0,0,0,Imported cases only,1
47,Cameroon,1,1,0,0,Imported cases only,0
48,Nigeria,1,0,0,0,Imported cases only,7
,0,1,2,3,4,5,6
0,South Africa,1,1,0,0,Imported cases only,0
1,"Subtotal for all 
regions",16785,2727,329,69,,
2,"International 
conveyance 
(Diamond Princess)",696,0,6,0,Local transmission,0
3,Grand total,17481,2727,335,69,,
,0,1,2,3,4,5,6,7,8,9
0,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,,,,,,,,,,,
