,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,41,42,27,67707,2986
3,Guangdong,11346,0,0,0,1352,7
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,0,0,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,758,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,0,0,576,6
12,Sichuan,8341,0,1,0,539,3
13,Heilongjiang,3773,0,0,0,481,13
14,Beijing,2154,2,3,0,428,8
15,Shanghai,2424,0,25,0,342,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,1,0,174,2
21,Hainan,934,0,0,0,168,6
22,Guizhou,3600,0,0,0,146,2
23,Tianjin,1560,0,9,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,3,0,125,1
26,Gansu,2637,1,0,0,120,2
27,Hong Kong SAR,745,2,0,0,109,2
28,Jilin,2704,0,0,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Inner Mongolia,2534,0,0,0,75,1
31,Ningxia,688,0,0,0,75,0
32,Taipei and environs,2359,0,0,0,45,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,46,84,27,80859,3100
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
last reported 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths 
case",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,7134,367,50,6,Local transmission,0
3,Japan,455,48,6,0,Local transmission,0
4,Singapore,138,8,0,0,Local transmission,0
5,Malaysia,93,10,0,0,Local transmission,0
6,Australia,74,12,3,1,Local transmission,0
7,Viet Nam,21,4,0,0,Local transmission,0
8,Philippines,6,1,1,0,Local transmission,0
9,New Zealand,5,0,0,0,Local transmission,1
10,Cambodia,2,1,0,0,Local transmission,0
11,European Region,,,,,,
12,Italy,5883,1247,234,37,Local transmission,0
13,Germany,795,156,0,0,Local transmission,0
14,France,706,93,10,1,Local transmission,0
15,Spain,430,56,5,0,Local transmission,0
16,Switzerland,264,55,2,1,Local transmission,0
17,The United Kingdom,210,43,2,1,Local transmission,0
