,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,13,6,22,67773,3046
3,Guangdong,11346,0,1,0,1353,8
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,0,0,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,1,0,0,759,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,0,0,576,6
12,Sichuan,8341,0,0,0,539,3
13,Heilongjiang,3773,1,0,0,482,13
14,Beijing,2154,6,2,0,435,8
15,Shanghai,2424,2,18,0,344,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,1,0,174,2
21,Hainan,934,0,0,0,168,6
22,Guizhou,3600,0,0,0,146,2
23,Tianjin,1560,0,2,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,1,0,125,1
26,Gansu,2637,1,0,0,125,2
27,Hong Kong SAR,745,5,0,0,120,3
28,Jilin,2704,0,0,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,0,0,0,75,0
31,Inner Mongolia,2534,0,0,0,75,1
32,Taipei and environs,2359,2,0,0,47,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,31,31,22,80955,3162
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,7755,242,60,6,Local transmission,0
3,Japan,568,54,12,3,Local transmission,0
4,Singapore,166,6,0,0,Local transmission,0
5,Malaysia,129,12,0,0,Local transmission,0
6,Australia,112,20,3,0,Local transmission,0
7,Philippines,49,16,1,0,Local transmission,0
8,Viet Nam,35,4,0,0,Local transmission,0
9,New Zealand,5,0,0,0,Local transmission,4
10,Cambodia,3,1,0,0,Local transmission,0
11,Brunei Darussalam,1,0,0,0,Imported cases only,1
12,Mongolia,1,0,0,0,Imported cases only,1
13,European Region,,,,,,
14,Italy,10149,977,631,168,Local transmission,0
15,France,1774,372,33,3,Local transmission,0
16,Spain,1639,615,36,8,Local transmission,0
17,Germany,1296,157,2,0,Local transmission,0
