,0,1,2,3,4,5,6
23,Antigua and Barbuda,1,0,0,0,Imported cases only,2
24,Guatemala,1,0,1,0,Imported cases only,1
25,Saint Lucia,1,0,0,0,Imported cases only,1
26,"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,3
27,Suriname,1,0,0,0,Imported cases only,1
28,Territories**,,,,,,
29,Martinique,15,5,0,0,Imported cases only,0
30,French Guiana,7,0,0,0,Imported cases only,2
31,Guadeloupe,6,3,0,0,Imported cases only,0
32,Puerto Rico,3,0,0,0,Imported cases only,2
33,Saint Barthelemy,3,2,0,0,Under investigation,0
34,Curaçao,2,0,0,0,Imported cases only,1
35,Saint Martin,2,0,0,0,Under investigation,13
36,Cayman Islands,1,0,1,1,Imported cases only,1
37,African Region,,,,,,
38,South Africa,51,13,0,0,Local transmission,0
39,Algeria,49,12,3,0,Local transmission,0
40,Senegal,26,5,0,0,Local transmission,0
41,Ghana,6,0,0,0,Imported cases only,1
42,Rwanda,5,5,0,0,Local transmission,0
43,Burkina Faso,3,0,0,0,Imported cases only,1
44,Cameroon,3,0,0,0,Local transmission,1
45,Cote d’Ivoire,3,0,0,0,Imported cases only,1
46,"Democratic Republic 
of the Congo",2,0,0,0,Imported cases only,2
47,Namibia,2,0,0,0,Imported cases only,1
,0,1,2,3,4,5,6
0,Nigeria,2,0,0,0,Imported cases only,7
1,Seychelles,2,2,0,0,Imported cases only,0
2,"Central African 
Republic",1,0,0,0,Imported cases only,1
3,Congo,1,0,0,0,Imported cases only,1
4,Equatorial Guinea,1,0,0,0,Imported cases only,1
5,Eswatini,1,0,0,0,Imported cases only,1
6,Ethiopia,1,0,0,0,Imported cases only,2
7,Gabon,1,0,0,0,Imported cases only,2
8,Guinea,1,0,0,0,Imported cases only,2
9,Kenya,1,0,0,0,Imported cases only,2
10,Mauritania,1,0,0,0,Imported cases only,1
11,Togo,1,0,0,0,Imported cases only,9
12,Territories**,,,,,,
13,Réunion,9,3,0,0,Imported cases only,0
14,Mayotte,1,0,0,0,Imported cases only,1
15,"Subtotal for all 
regions",166803,13888,6599,862,,
16,"International 
conveyance 
(Diamond Princess)",712,15,7,0,Local transmission,0
17,Grand total,167515,13903,6606,862,,
,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,,,
1,,,,,,,,,,,,
