,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,
1,Western Pacific Region,,,,,,
2,China,81077,29,3218,14,Local Transmission,0
3,Republic of Korea,8236,74,75,0,Local transmission,0
4,Japan,814,34,24,2,Local transmission,0
5,Malaysia,553,315,0,0,Local transmission,0
6,Australia,298,0,5,0,Local transmission,1
7,Singapore,243,31,0,0,Local transmission,0
8,Philippines,140,0,12,0,Local transmission,1
9,Viet Nam,57,4,0,0,Local transmission,0
10,Brunei Darussalam,50,10,0,0,Local transmission,0
11,Cambodia,12,0,0,0,Local transmission,1
12,New Zealand,6,0,0,0,Local transmission,2
13,Mongolia,1,0,0,0,Imported cases only,6
14,Territories**,,,,,,
15,"French Polynesia 
3 
0 
0 
0 
Imported cases only 
1",,,,,,
16,European Region,,,,,,
17,Italy,24747,3590,1809,368,Local transmission,0
18,Spain,7753,2000,288,152,Local transmission,0
19,France,5380,911,127,36,Local transmission,0
20,Germany,4838,1043,12,4,Local transmission,0
21,Switzerland,2200,841,13,2,Local transmission,0
22,The United Kingdom,1395,251,35,14,Local transmission,0
23,Netherlands,1135,176,20,8,Local transmission,0
24,Belgium,1085,396,5,5,Local transmission,0
25,Norway,1077,170,1,0,Local transmission,0
26,Sweden,992,68,3,3,Local transmission,0
27,Austria,959,159,1,0,Local transmission,0
28,Denmark,898,71,1,1,Local transmission,0
29,Greece,331,103,4,2,Local transmission,0
30,Czechia,298,84,0,0,Local transmission,0
31,Finland,267,57,0,0,Local transmission,0
32,Portugal,245,133,0,0,Local transmission,0
33,Slovenia,219,78,0,0,Local transmission,0
34,Estonia,205,126,0,0,Local transmission,0
35,Israel,200,22,0,0,Local transmission,0
36,Ireland,169,40,2,0,Local transmission,0
37,Romania,158,35,0,0,Local transmission,0
38,Poland,150,39,3,0,Local transmission,0
39,Iceland,138,0,0,0,Local transmission,1
40,San Marino,92,0,5,0,Local transmission,1
41,Russian Federation,63,29,0,0,Imported cases only,0
42,Slovakia,61,17,0,0,Local transmission,0
43,Bulgaria,51,8,2,0,Local transmission,0
44,Croatia,49,12,0,0,Local transmission,0
45,Albania,42,4,1,0,Local transmission,0
46,Serbia††,46,0,0,0,Local transmission,1
47,Hungary,39,7,1,1,Local transmission,0
,0,1,2,3,4,5,6
0,Luxembourg,38,0,1,0,Local transmission,2
1,Belarus,36,15,0,0,Local transmission,0
2,Cyprus,33,12,0,0,Imported cases only,0
3,Georgia,33,3,0,0,Imported cases only,0
4,Latvia,31,1,0,0,Imported cases only,0
5,Armenia,26,18,0,0,Local transmission,0
6,Republic of Moldova,23,11,0,0,Imported cases only,0
7,Malta,21,9,0,0,Imported cases only,0
8,Azerbaijan,19,0,0,0,Imported cases only,1
9,"Bosnia and 
Herzegovina",18,0,0,0,Local transmission,1
10,Lithuania,14,5,0,0,Imported cases only,0
11,North Macedonia,13,0,0,0,Local transmission,1
12,Monaco,9,7,0,0,Under investigation,0
13,Liechtenstein,7,3,0,0,Imported cases only,0
14,Kazakhstan,6,0,0,0,Imported cases only,1
15,Turkey,5,0,0,0,Imported cases only,2
16,Uzbekistan,4,4,0,0,Under investigation,0
17,Ukraine,3,0,1,0,Local transmission,2
18,Andorra,2,0,0,0,Imported cases only,2
19,Holy See,1,0,0,0,Under investigation,10
20,Territories**,,,,,,
21,Faroe Islands,11,2,0,0,Imported cases only,0
22,Jersey,2,0,0,0,Imported cases only,3
23,Gibraltar,1,0,0,0,Under investigation,12
24,Guernsey,1,0,0,0,Imported cases only,6
25,South-East Asia Region,,,,,,
26,Indonesia,117,0,4,0,Local transmission,1
27,India,114,7,2,0,Local transmission,0
28,Thailand,114,39,1,0,Local transmission,0
29,Sri Lanka,19,8,0,0,Local transmission,0
30,Maldives,13,3,0,0,Local transmission,0
31,Bangladesh,5,2,0,0,Local transmission,0
32,Bhutan,1,0,0,0,Imported cases only,10
33,Nepal,1,0,0,0,Imported cases only,52
34,Eastern Mediterranean Region,,,,,,
35,"Iran (Islamic Republic 
of)",14991,2262,853,245,Local transmission,0
36,Qatar,401,64,0,0,Local transmission,0
37,Bahrain,221,10,1,1,Local transmission,0
38,Egypt,126,33,2,0,Local transmission,0
39,Iraq,124,31,9,0,Local transmission,0
40,Kuwait,112,0,0,0,Local transmission,1
41,Saudi Arabia,103,0,0,0,Local transmission,1
42,Lebanon,99,6,3,0,Local transmission,0
43,United Arab Emirates,98,13,0,0,Local transmission,0
44,Pakistan,52,24,0,0,Imported cases only,0
45,Morocco,28,10,1,0,Local transmission,0
46,Oman,22,2,0,0,Imported cases only,0
47,Tunisia,18,2,0,0,Local transmission,0
48,Afghanistan,16,6,0,0,Imported cases only,0
49,Jordan,6,5,0,0,Imported cases only,0
50,Sudan,1,0,1,1,Imported cases only,1
51,Territories**,,,,,,
,0,1,2,3,4,5,6
0,"occupied Palestinian 
38 
0 
0 
0 
Local transmission 
2 
territory",,,,,,
1,Region of the Americas,,,,,,
2,"United States of 
America",1678,0,41,0,Local transmission,2
3,Canada,304,60,1,0,Local transmission,0
4,Brazil,200,79,0,0,Local transmission,0
5,Chile,75,14,0,0,Local transmission,0
6,Peru,71,28,0,0,Local transmission,0
7,Argentina,56,11,2,0,Local transmission,0
8,Mexico,53,12,0,0,Imported cases only,0
9,Panama,43,16,1,0,Local transmission,0
10,Ecuador,37,14,2,2,Local transmission,0
11,Colombia,24,0,0,0,Local transmission,1
12,Costa Rica,23,0,0,0,Local transmission,2
13,"Bolivia (Plurinational 
State of)",11,8,0,0,Imported cases only,0
14,Jamaica,10,2,0,0,Local transmission,0
15,Paraguay,8,2,0,0,Local transmission,0
16,Dominican Republic,5,0,0,0,Imported cases only,6
17,Cuba,4,0,0,0,Imported cases only,2
18,Guyana,4,3,1,0,Local transmission,0
19,Uruguay,4,4,0,0,Imported cases only,0
20,Honduras,2,0,0,0,Imported cases only,4
21,Trinidad and Tobago,2,1,0,0,Imported cases only,0
22,"Venezuela (Bolivarian 
Republic of)",2,0,0,0,Imported cases only,2
