,0,1,2,3,4
0,,,,,
1,,,,,
,0,1,2,3,4,5,6
42,Tunisia,6,0,0,0,Local transmission,1
43,Morocco,5,2,1,0,Local transmission,0
44,Jordan,1,0,0,0,Imported cases only,9
45,Territories**,,,,,,
46,"occupied Palestinian 
territory 
30 
0 
0 
0 
Local transmission 
1",,,,,,
47,Region of the Americas,,,,,,
48,"United States of 
America 
987 
291 
29 
4 
Local transmission 
0",,,,,,
,0,1,2,3,4,5,6
0,Canada,93,0,1,0,Local transmission,1
1,Brazil,52,18,0,0,Local transmission,0
2,Chile,23,6,0,0,Local transmission,0
3,Argentina,19,2,1,0,Imported cases only,0
4,Ecuador,17,2,0,0,Local transmission,0
5,Peru,17,6,0,0,Local transmission,0
6,Costa Rica,13,0,0,0,Local transmission,1
7,Mexico,11,4,0,0,Imported cases only,0
8,Panama,10,2,1,0,Local transmission,0
9,Colombia,9,6,0,0,Imported cases only,0
10,Dominican Republic,5,0,0,0,Imported cases only,2
11,Paraguay,5,0,0,0,Local transmission,1
12,"Bolivia (Plurinational 
State of)",2,0,0,0,Imported cases only,1
13,Honduras,2,2,0,0,Imported cases only,0
14,Jamaica,1,0,0,0,Imported cases only,1
15,Territories**,,,,,,
16,French Guiana,5,0,0,0,Imported cases only,4
17,Martinique,3,0,0,0,Imported cases only,1
18,Saint Martin,2,0,0,0,Under investigation,9
19,Saint Barthelemy,1,0,0,0,Under investigation,9
20,African Region,,,,,,
21,Algeria,25,5,1,1,Local transmission,0
22,South Africa,13,6,0,0,Imported cases only,0
23,Senegal,4,0,0,0,Imported cases only,7
24,Burkina Faso,2,0,0,0,Imported cases only,1
25,Cameroon,2,0,0,0,Local transmission,5
26,Nigeria,2,0,0,0,Imported cases only,3
27,Côte d’Ivoire,1,1,0,0,Imported cases only,0
28,"Democratic Republic 
of the Congo",1,0,0,0,Imported cases only,1
29,Togo,1,0,0,0,Imported cases only,5
30,"Subtotal for all 
regions",43583,6915,1433,310,,
31,"International 
conveyance 
(Diamond Princess)",696,0,7,0,Local transmission,4
32,Grand total,44279,6915,1440,310,,
,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,,,,
1,,,,,,,,,,,,,
